,score,review
4,-2.9391555786132812,**SPOILERS AHEAD**<br /><br />It is really unfortunate that a movie so well produced turns out to be<br /><br />such a disappointment. I thought this was full of (silly) clichés and<br /><br />that it
13,-2.927053928375244,"This show was crap when it first came on. The first actress that played the daughter didn't fit the role, the writing was hit or miss, and Damon Wayans CLEARLY wasn't comfortable doing such a cornball"
11,-2.8858513832092285,"By mistake, I ordered a series from the BBC, their new version of Robin Hood. Very disappointing in comparison with RoS. Terrible costuming and backgrounds. While I enjoyed the Sheriff, who took cues "
5,-2.8757691383361816,"My family and I normally do not watch local movies for the simple reason that they are poorly made, they lack the depth, and just not worth our time.<br /><br />The trailer of ""Nasaan ka man"" caught m"
8,-2.854013442993164,"Norma Shearer dazzles as she is transformed from a frump, addle-brained house-wife to an alluring potential divorcee. Most 1930 films have a creaky edge to them -- the camera work is pretty sluggish a"
2,-2.8436026573181152,"OK. Who ever invented this film hates humanity and wants to see them all slit their throats. This ""film"" was absolute and utter filth. What the heck was up with the weird old bags eyes? Seriously, was"
0,-2.8377633094787598,"The film had NO help at all, promotion-wise: if there was an advertising promo on TV or radio, I didn't see/hear it. The only newspaper ad I saw was on it's opening weekend: a dingy, sludgy B & W head"
1,-2.8326048851013184,"It couldn't have come out at a worse time--just as the nation was entering the Reagan years, the boom-boom 80s, the time of no regrets, no concerns. It got no word of mouth, and opened poorly. The stu"
7,-2.8298161029815674,"Obviously made on the cheap to capitalize on the notorious ""Mandingo,"" this crassly pandering hunk of blithely rancid Italian sexploitation junk really pours on the sordid stuff with a commendable lac"
12,-2.82881498336792,"I'm not sure what intrigues me about this movie so. It is grainy, poorly written, bleached out, often ridiculous, and at many points mind numbingly dull (the person I was watching it with fell asleep "
9,-2.823392629623413,This cheapo remake of the terrific Five Star Final suffers from terrible acting. Humphrey Bogart stars as the manager of a sleazoid radio station that is desperate to boost sagging ratings. The owner 
6,-2.8155276775360107,LIFEFORCE was one of Cannon Films' biggest flops. It received mostly bad reviews and did nothing to help director Tobe Hooper's career in the wake of the Spielberg/POLTERGEIST controversy. All of this
10,-2.8097751140594482,"I was fortunate enough to catch a midnight screening of this movie tonight. I must say, I was expecting a horribly cheap movie with bad acting and a mediocre plot. I was completely mistaken. This movi"
3,-2.8056797981262207,"Death Wish 3 is exactly what a bad movie should be. Terrible acting! Implausible scenerios! Ridiculous death scenes! Creepy, evil-for-no-reason villains! The last 30 minutes of this movie just might b"
